6,9[0, 0, 3, 0, 3][-1.618034, -1.618034, -1.236068, 0.618034, 0.618034, 3.236068]-1	16	0.32%
6,10[0, 0, 1, 2, 3][-2.190688, -1.187628, -1.0, 0.150544, 0.729919, 3.497854]-1	22	0.44%
6,8[0, 0, 3, 2, 1][-2.158438, -1.271849, -0.661061, 0.183007, 1.055423, 2.852917]-1	128	2.56%
6,7[0, 2, 2, 0, 2][-1.791288, -1.618034, 0.0, 0.0, 0.618034, 2.791288]-1	48	0.96%
6,6[0, 2, 2, 2][-2.236068, -1.0, 0.0, 0.0, 1.0, 2.236068]-1	55	1.10%
6,7[0, 1, 4, 0, 0, 1][-1.903212, -1.0, -1.0, 0.193937, 1.0, 2.709275]-1	38	0.76%
6,10[0, 0, 2, 0, 4][-2.0, -1.0, -1.0, -0.561553, 1.0, 3.561553]-1	8	0.16%
6,9[0, 0, 0, 6][-2.0, -2.0, 0.0, 0.0, 1.0, 3.0]-1	9	0.18%
6,7[0, 2, 1, 2, 1][-2.0, -1.0, -0.732051, 0.0, 1.0, 2.732051]-1	47	0.94%
6,7[0, 0, 4, 2][-1.756598, -1.618034, -0.820249, 0.618034, 1.138564, 2.438283]-1	89	1.78%
6,7[0, 1, 3, 1, 1][-1.67828, -1.319775, -1.0, 0.139666, 1.229738, 2.628651]-1	77	1.54%
6,9[0, 0, 1, 4, 1][-2.508622, -1.285519, 0.0, 0.0, 0.701975, 3.092166]-1	38	0.76%
6,10[0, 0, 2, 1, 2, 1][-1.751532, -1.618034, -1.0, 0.158917, 0.618034, 3.592615]-1	12	0.24%
6,10[0, 0, 0, 4, 2][-2.24698, -1.575773, -0.554958, 0.187284, 0.801938, 3.38849]-1	19	0.38%
6,8[0, 0, 3, 2, 1][-2.0, -1.342923, -1.0, 0.529317, 1.0, 2.813607]-1	65	1.30%
6,8[0, 1, 2, 2, 0, 1][-1.824051, -1.618034, -0.54823, 0.328543, 0.618034, 3.043738]-1	56	1.12%
6,8[0, 0, 2, 4][-2.732051, -0.732051, 0.0, 0.0, 0.732051, 2.732051]-1	11	0.22%
6,9[0, 0, 2, 2, 2][-2.626198, -1.0, 0.0, 0.0, 0.484862, 3.141336]-1	7	0.14%
6,6[0, 3, 0, 3][-1.618034, -1.618034, -0.414214, 0.618034, 0.618034, 2.414214]-1	39	0.78%
6,11[0, 0, 0, 3, 2, 1][-2.0, -1.489289, -1.0, 0.0, 0.710831, 3.778457]-1	5	0.10%
6,9[0, 0, 1, 4, 1][-2.178651, -1.173571, -1.0, 0.109626, 1.155797, 3.086799]-1	39	0.78%
6,9[0, 0, 0, 6][-3.0, 0.0, 0.0, 0.0, 0.0, 3.0]-1	2	0.04%
6,11[0, 0, 0, 3, 2, 1][-2.483612, -1.282824, 0.0, 0.0, 0.0, 3.766435]-1	3	0.06%
6,8[0, 1, 2, 1, 2][-1.856343, -1.477984, -0.724824, 0.19669, 0.848136, 3.014326]-1	95	1.90%
6,11[0, 1, 0, 0, 4, 1][-1.53407, -1.0, -1.0, -1.0, 0.482696, 4.051374]-1	1	0.02%
6,10[0, 0, 1, 3, 1, 1][-1.698969, -1.511053, -1.0, -0.407145, 1.082748, 3.534418]-1	15	0.30%
6,9[0, 1, 1, 1, 3][-1.798457, -1.327912, -1.0, 0.0, 0.742438, 3.383931]-1	11	0.22%
6,6[0, 2, 2, 2][-1.739677, -1.37379, -0.594523, 0.274205, 1.099585, 2.334201]-1	184	3.68%
6,10[0, 0, 1, 2, 3][-2.0, -1.581807, -0.79888, 0.0, 0.912755, 3.467932]-1	11	0.22%
6,7[0, 2, 1, 2, 1][-1.894203, -1.329265, -0.60928, 0.306358, 0.772675, 2.753715]-1	156	3.12%
6,8[0, 1, 1, 3, 1][-2.311657, -1.0, -0.656954, 0.308777, 0.727166, 2.932668]-1	62	1.24%
6,9[0, 0, 2, 2, 2][-1.801938, -1.588364, -0.593579, -0.445042, 1.24698, 3.181943]-1	23	0.46%
6,8[0, 1, 0, 5][-2.292402, -1.0, -0.602705, 0.0, 1.0, 2.895107]-1	23	0.46%
6,11[0, 0, 1, 0, 5][-2.279452, -1.0, -1.0, 0.0, 0.459363, 3.820089]-1	1	0.02%
6,8[0, 1, 3, 0, 1, 1][-2.123467, -1.322834, 0.0, 0.0, 0.344292, 3.102009]-1	21	0.42%
6,9[0, 0, 2, 2, 2][-2.0, -1.236068, -1.0, 0.0, 1.0, 3.236068]-1	12	0.24%
6,8[0, 0, 2, 4][-1.791288, -1.618034, -1.0, 0.618034, 1.0, 2.791288]-1	23	0.46%
6,9[0, 1, 0, 4, 0, 1][-2.0, -1.681331, 0.0, 0.0, 0.357926, 3.323404]-1	8	0.16%
6,7[0, 2, 2, 1, 0, 1][-2.0, -1.342923, 0.0, 0.0, 0.529317, 2.813607]-1	55	1.10%
6,10[0, 1, 0, 2, 2, 1][-1.766963, -1.384241, -1.0, 0.0, 0.440752, 3.710452]-1	6	0.12%
6,8[0, 0, 2, 4][-2.220008, -1.618034, -0.231361, 0.618034, 0.710287, 2.741082]-1	71	1.42%
6,5[0, 2, 4][-1.801938, -1.24698, -0.445042, 0.445042, 1.24698, 1.801938]-1	96	1.92%
6,8[0, 0, 3, 2, 1][-2.454139, -1.195491, 0.0, 0.0, 0.853193, 2.796437]-1	88	1.76%
6,11[0, 0, 0, 2, 4][-2.414214, -1.0, -1.0, 0.267949, 0.414214, 3.732051]-1	2	0.04%
6,8[0, 2, 0, 3, 0, 1][-1.855773, -1.0, -1.0, 0.0, 0.678363, 3.17741]-1	12	0.24%
6,8[0, 1, 1, 3, 1][-1.779608, -1.537083, -0.706201, 0.0, 1.041955, 2.980937]-1	92	1.84%
6,7[0, 1, 2, 3][-2.0, -1.561553, 0.0, 0.0, 1.0, 2.561553]-1	99	1.98%
6,7[0, 0, 4, 2][-2.414214, -1.0, -0.414214, 0.414214, 1.0, 2.414214]-1	55	1.10%
6,9[0, 0, 2, 3, 0, 1][-1.601679, -1.0, -1.0, -1.0, 1.339877, 3.261802]-1	6	0.12%
6,8[0, 2, 0, 2, 2][-1.618034, -1.391382, -1.0, 0.227134, 0.618034, 3.164248]-1	8	0.16%
6,7[0, 0, 4, 2][-2.164248, -1.618034, 0.0, 0.618034, 0.772866, 2.391382]-1	74	1.48%
6,5[0, 3, 2, 1][-1.902113, -1.175571, 0.0, 0.0, 1.175571, 1.902113]-1	138	2.76%
6,6[0, 1, 4, 1][-2.175328, -1.126033, 0.0, 0.0, 1.126033, 2.175328]-1	121	2.42%
6,7[0, 1, 3, 1, 1][-1.851335, -1.350364, -0.55997, 0.0, 1.056082, 2.705587]-1	68	1.36%
6,6[0, 0, 6][-2.0, -1.0, -1.0, 1.0, 1.0, 2.0]-1	21	0.42%
6,7[0, 1, 2, 3][-1.866198, -1.0, -1.0, 0.0, 1.210756, 2.655442]-1	59	1.18%
6,11[0, 0, 1, 1, 3, 1][-1.78315, -1.475815, -1.0, -0.379146, 0.779159, 3.858951]-1	3	0.06%
6,11[0, 0, 1, 2, 1, 2][-2.0, -1.292402, -1.0, 0.0, 0.397295, 3.895107]-1	2	0.04%
6,9[0, 1, 0, 3, 2][-2.139248, -1.29273, -0.597518, 0.0, 0.734704, 3.294791]-1	19	0.38%
6,6[0, 2, 3, 0, 1][-1.920221, -1.0, -0.751024, 0.291367, 1.0, 2.379878]-1	150	3.00%
6,8[0, 0, 4, 0, 2][-2.0, -1.709275, 0.0, 0.0, 0.806063, 2.903212]-1	31	0.62%
6,11[0, 0, 0, 2, 4][-2.230725, -1.618034, -0.482859, 0.0, 0.618034, 3.713585]-1	4	0.08%
6,6[0, 1, 4, 1][-1.860806, -1.618034, -0.254102, 0.618034, 1.0, 2.114908]-1	161	3.22%
6,10[0, 0, 1, 3, 1, 1][-2.176935, -1.47816, -0.528409, 0.0, 0.669443, 3.514061]-1	14	0.28%
6,8[0, 0, 2, 4][-2.0, -1.414214, -0.732051, 0.0, 1.414214, 2.732051]-1	25	0.50%
6,6[0, 3, 1, 1, 1][-1.872276, -1.370326, 0.0, 0.0, 0.796815, 2.445787]-1	153	3.06%
6,12[0, 0, 0, 2, 2, 2][-1.6874, -1.618034, -1.0, -0.431627, 0.618034, 4.119027]-1	2	0.04%
6,6[0, 2, 3, 0, 1][-2.288246, -0.874032, 0.0, 0.0, 0.874032, 2.288246]-1	105	2.10%
6,9[0, 1, 0, 3, 2][-1.877404, -1.0, -1.0, -0.476452, 1.0, 3.353856]-1	17	0.34%
6,8[0, 1, 1, 3, 1][-2.240342, -1.368371, 0.0, 0.0, 0.664834, 2.943879]-1	62	1.24%
6,6[0, 2, 2, 2][-1.89122, -1.0, -0.704624, 0.0, 1.317431, 2.278414]-1	59	1.18%
6,10[0, 0, 0, 5, 0, 1][-1.618034, -1.618034, -1.44949, 0.618034, 0.618034, 3.44949]-1	4	0.08%
6,10[0, 0, 0, 4, 2][-2.717741, -1.0, 0.0, 0.0, 0.325397, 3.392344]-1	4	0.08%
6,9[0, 0, 1, 4, 1][-2.0, -1.618034, -0.860806, 0.618034, 0.745898, 3.114908]-1	33	0.66%
6,8[0, 0, 4, 1, 0, 1][-1.820822, -1.285865, -1.0, 0.0, 1.159274, 2.947413]-1	34	0.68%
6,5[0, 4, 1, 0, 1][-2.074313, -0.835, 0.0, 0.0, 0.835, 2.074313]-1	99	1.98%
6,9[0, 1, 1, 2, 1, 1][-1.86191, -1.282696, -1.0, 0.251197, 0.489727, 3.403682]-1	29	0.58%
6,6[0, 2, 2, 2][-2.24698, -0.801938, -0.554958, 0.554958, 0.801938, 2.24698]-1	166	3.32%
6,5[0, 4, 0, 2][-2.0, -1.0, 0.0, 0.0, 1.0, 2.0]-1	66	1.32%
6,7[0, 2, 0, 4][-1.903212, -1.0, -1.0, 0.193937, 1.0, 2.709275]-1	31	0.62%
6,10[0, 0, 2, 2, 0, 2][-2.141336, -1.0, -1.0, 0.0, 0.515138, 3.626198]-1	2	0.04%
6,8[0, 0, 3, 2, 1][-1.842236, -1.0, -1.0, -0.506942, 1.506942, 2.842236]-1	20	0.40%
6,7[0, 1, 3, 1, 1][-2.557612, -0.677214, 0.0, 0.0, 0.677214, 2.557612]-1	47	0.94%
6,9[0, 0, 2, 3, 0, 1][-1.80853, -1.526602, -1.0, 0.112389, 1.0, 3.222743]-1	44	0.88%
6,9[0, 0, 2, 2, 2][-2.396206, -1.0, -0.627204, 0.0, 0.834653, 3.188757]-1	17	0.34%
6,7[0, 1, 2, 3][-2.524338, -0.792287, 0.0, 0.0, 0.792287, 2.524338]-1	58	1.16%
6,8[0, 0, 4, 0, 2][-2.828427, 0.0, 0.0, 0.0, 0.0, 2.828427]-1	2	0.04%
6,10[0, 0, 1, 2, 3][-2.471481, -1.338712, 0.0, 0.0, 0.349326, 3.460867]-1	8	0.16%
6,5[0, 5, 0, 0, 0, 1][-2.236068, 0.0, 0.0, 0.0, 0.0, 2.236068]-1	10	0.20%
6,9[0, 0, 4, 0, 0, 2][-2.372281, -1.0, 0.0, 0.0, 0.0, 3.372281]-1	1	0.02%
6,7[0, 0, 4, 2][-1.732051, -1.0, -1.0, -0.414214, 1.732051, 2.414214]-1	22	0.44%
6,7[0, 0, 5, 0, 1][-2.191169, -1.0, -0.576713, 0.0, 1.264377, 2.503504]-1	59	1.18%
6,5[0, 3, 2, 1][-1.931852, -1.0, -0.517638, 0.517638, 1.0, 1.931852]-1	178	3.56%
6,6[0, 3, 2, 0, 0, 1][-2.08613, -1.0, 0.0, 0.0, 0.571993, 2.514137]-1	36	0.72%
6,9[0, 0, 3, 1, 1, 1][-2.0, -1.540785, -0.512486, 0.0, 0.771876, 3.281394]-1	31	0.62%
6,8[0, 1, 1, 3, 1][-1.704468, -1.0, -1.0, -0.508923, 1.116884, 3.096507]-1	12	0.24%
6,8[0, 1, 2, 1, 2][-2.112911, -1.0, -0.756244, 0.0, 0.821355, 3.047799]-1	23	0.46%
6,9[0, 0, 2, 2, 2][-2.205168, -1.505788, -0.4663, 0.279848, 0.728212, 3.169195]-1	77	1.54%
6,10[0, 0, 0, 4, 2][-2.372281, -1.0, -1.0, 0.0, 1.0, 3.372281]-1	3	0.06%
6,7[0, 1, 3, 1, 1][-2.141987, -1.305298, -0.384753, 0.466856, 0.766109, 2.599072]-1	247	4.94%
6,7[0, 1, 2, 3][-2.136393, -1.206076, -0.540632, 0.261144, 1.082474, 2.539484]-1	201	4.02%
6,6[0, 1, 4, 1][-1.774623, -1.0, -1.0, 0.185885, 1.360409, 2.228328]-1	79	1.58%

